21,ACS,CTCP Xây lắp Thương mại 2,Hàng hóa công nghiệp,UPCoM,"5,400,000"
22,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,"2,177,173,236"
23,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,"3,977,936"
24,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,"21,380,521"
25,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,"23,039,850"
26,ADS,CTCP Damsan,Thời trang và hàng lâu bền,HOSE,"76,394,727"
27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"35,000,000"
28,AG1,CTCP 28.1,Thời trang và hàng lâu bền,UPCoM,"4,863,386"
29,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"28,109,743"
30,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,HOSE,"162,528,081"
31,AGM,CTCP Xuất Nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"18,200,000"
32,AGP,CTCP Dược phẩm Agimexpharm,"Dược phẩm, công nghệ sinh học và khoa học sự sống",UPCoM,"26,615,268"
33,AGR,CTCP Chứng khoán Agribank,Dịch vụ tài chính,HOSE,"228,311,823"
34,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"10,800,000"
35,AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,Bảo hiểm,UPCoM,"100,000,000"
36,AIG,CTCP Nguyên liệu Á Châu AIG,Thương mại hàng thiết yếu,UPCoM,"170,601,298"
37,ALT,CTCP Văn hóa Tân Bình,Nguyên vật liệu,HNX,"6,172,523"
38,ALV,CTCP Tập đoàn MCST,Hàng hóa công nghiệp,UPCoM,"5,657,936"
39,AMC,CTCP Khoáng sản Á Châu,Nguyên vật liệu,HNX,"2,850,000"
40,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Hàng hóa công nghiệp,UPCoM,"163,504,874"
41,AME,CTCP Alphanam E&C,Hàng hóa công nghiệp,HNX,"65,200,000"
42,AMP,CTCP Armephaco,Thương mại hàng không thiết yếu,UPCoM,"13,000,000"
43,AMS,CTCP Cơ khí Xây dựng AMECC,Hàng hóa công nghiệp,UPCoM,"60,000,000"
44,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Thiết bị và dịch vụ chăm sóc sức khỏe,HNX,"131,105,650"
45,ANT,CTCP Rau quả Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"20,503,708"
46,ANV,CTCP Nam Việt,"Thực phẩm, đồ uống và thuốc lá",HOSE,"266,667,500"
47,APC,CTCP Chiếu xạ An Phú,Dịch vụ thương mại và chuyên nghiệp,UPCoM,"20,121,395"
48,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"29,770,578"
49,APG,CTCP Chứng khoán APG,Dịch vụ tài chính,HOSE,"223,621,942"
50,APH,CTCP Tập đoàn An Phát Holdings,Nguyên vật liệu,HOSE,"243,884,268"
51,API,CTCP Đầu tư Châu Á - Thái Bình Dương,Bất động sản,HNX,"84,083,976"
52,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Thương mại hàng không thiết yếu,UPCoM,"1,200,000"
53,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Năng lượng,UPCoM,"4,724,632"
54,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,Dịch vụ tài chính,HNX,"83,000,000"
55,APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,800,000"
56,ARM,CTCP Xuất nhập khẩu Hàng không,Hàng hóa công nghiệp,HNX,"3,111,283"
57,ART,CTCP Chứng khoán Artex,Dịch vụ tài chính,UPCoM,"96,922,509"
58,ASA,CTCP ASA,Thương mại hàng thiết yếu,UPCoM,"10,000,000"
59,ASG,CTCP Tập đoàn ASG,Vận tải,HOSE,"90,784,669"
60,ASM,CTCP Tập đoàn Sao Mai,"Thực phẩm, đồ uống và thuốc lá",HOSE,"370,178,250"
61,ASP,CTCP Tập đoàn Dầu khí An Pha,Năng lượng,HOSE,"37,339,929"
62,AST,CTCP Dịch vụ Hàng không Taseco,Vận tải,HOSE,"45,000,000"
63,ATA,CTCP Ntaco,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"11,999,998"
64,ATB,CTCP An Thịnh,Hàng hóa công nghiệp,UPCoM,"13,884,000"
65,ATG,CTCP An Trường An,Nguyên vật liệu,UPCoM,"15,220,000"
66,ATS,CTCP Tập đoàn Đầu tư ATS,Dịch vụ tiêu dùng,HNX,"3,500,000"
67,AVC,CTCP Thủy điện A Vương,Tiện ích,UPCoM,"75,052,052"
68,AVF,CTCP Việt An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"43,338,000"
69,AVG,CTCP Phân bón Quốc tế Âu Việt,Nguyên vật liệu,UPCoM,"17,679,982"
70,BAB,Ngân hàng TMCP Bắc Á,Tổ chức tín dụng,HNX,"958,021,843"
71,BAF,CTCP Nông nghiệp BAF Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,"304,021,642"
72,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,Nguyên vật liệu,UPCoM,"2,000,000"
73,BAX,CTCP Thống Nhất,Bất động sản,HNX,"8,200,000"
74,BBC,CTCP Bibica,"Thực phẩm, đồ uống và thuốc lá",HOSE,"18,752,687"
75,BBH,CTCP Bao bì Hoàng Thạch,Nguyên vật liệu,UPCoM,"2,047,932"
76,BBM,CTCP Bia Hà Nội - Nam Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"2,000,000"
77,BBS,CTCP VICEM Bao bì Bút Sơn,Nguyên vật liệu,HNX,"6,000,000"
78,BBT,CTCP Bông Bạch Tuyết,Thiết bị và dịch vụ chăm sóc sức khỏe,UPCoM,"9,800,000"
79,BCA,CTCP B.C.H,Nguyên vật liệu,UPCoM,"50,000,000"
80,BCB,CTCP 397,Năng lượng,UPCoM,"5,700,000"
81,BCC,CTCP Xi măng Bỉm Sơn,Nguyên vật liệu,HNX,"123,209,812"
82,BCE,CTCP Xây dựng và Giao thông Bình Dương,Thời trang và hàng lâu bền,HOSE,"35,000,000"
83,BCF,CTCP Thực phẩm Bích Chi,"Thực phẩm, đồ uống và thuốc lá",HNX,"37,964,770"
84,BCG,CTCP Tập đoàn Bamboo Capital,Hàng hóa công nghiệp,HOSE,"880,210,644"
85,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Bất động sản,HOSE,"1,035,000,000"
86,BCP,CTCP Dược ENLIE,"Dược phẩm, công nghệ sinh học và khoa học sự sống",UPCoM,"6,000,000"
87,BCR,CTCP BCG Land,Bất động sản,UPCoM,"473,799,913"
88,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ tiêu dùng,UPCoM,"1,800,000"
89,BDB,CTCP Sách và Thiết bị Bình Định,Truyền thông và giải trí,HNX,"1,126,474"
90,BDG,CTCP May mặc Bình Dương,Thời trang và hàng lâu bền,UPCoM,"24,799,920"
91,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Nguyên vật liệu,UPCoM,"38,600,000"
92,BDW,CTCP Cấp thoát nước Bình Định,Tiện ích,UPCoM,"12,410,800"
93,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Truyền thông và giải trí,HNX,"3,000,000"
94,BEL,CTCP Điện tử Biên Hòa,Phần cứng và thiết bị,UPCoM,"6,000,000"
95,BFC,CTCP Phân bón Bình Điền,Nguyên vật liệu,HOSE,"57,167,993"
96,BGE,CTCP BCG Energy,Tiện ích,UPCoM,"730,000,000"
97,BGW,CTCP Nước sạch Bắc Giang,Tiện ích,UPCoM,"18,149,446"
98,BHA,CTCP Thủy điện Bắc Hà,Tiện ích,UPCoM,"66,000,000"
99,BHC,CTCP Bê tông Biên Hòa,Nguyên vật liệu,UPCoM,"4,500,000"
100,BHG,CTCP Chè Biển Hồ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,935,643"
101,BHH,CTCP Thương mại Bia Hà Nội - Hưng Yên 89,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"6,000,000"
102,BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm,UPCoM,"100,000,000"
103,BHK,CTCP Bia Hà Nội - Kim Bài,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,986,000"
104,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HOSE,"231,800,000"
105,BHP,CTCP Bia Hà Nội - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"9,179,290"
106,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm,HOSE,"117,276,895"
107,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Tổ chức tín dụng,HOSE,"7,021,361,917"
108,BIG,CTCP Đầu tư Big Group Holdings,Thương mại hàng không thiết yếu,UPCoM,"15,084,689"
109,BII,CTCP Louis Land,Bất động sản,UPCoM,"57,680,000"
110,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Dược phẩm, công nghệ sinh học và khoa học sự sống",UPCoM,"8,562,000"
111,BKC,CTCP Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX,"11,737,728"
112,BKG,CTCP Đầu tư BKG Việt Nam,Nguyên vật liệu,HOSE,"71,609,020"
113,BLF,CTCP Thủy sản Bạc Liêu,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"11,500,000"
114,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm,UPCoM,"60,000,000"
115,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải,UPCoM,"5,000,000"
116,BLT,CTCP Lương thực Bình Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"4,000,000"
117,BMC,CTCP Khoáng sản Bình Định,Nguyên vật liệu,HOSE,"12,392,630"
118,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Tiện ích,UPCoM,"2,753,280"
119,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Thương mại hàng không thiết yếu,UPCoM,"15,848,063"
120,BMG,CTCP May Bình Minh,Thời trang và hàng lâu bền,UPCoM,"5,292,000"
121,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm,HOSE,"132,642,818"
122,BMJ,CTCP Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCoM,"104,999,978"
123,BMK,CTCP Kỹ thuật nhiệt Mèo Đen,Hàng hóa công nghiệp,UPCoM,"6,800,000"
124,BMP,CTCP Nhựa Bình Minh,Hàng hóa công nghiệp,HOSE,"81,860,938"
125,BMS,CTCP Chứng khoán Bảo Minh,Dịch vụ tài chính,UPCoM,"78,932,652"
126,BMV,CTCP Bột mỳ Vinafood 1,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"24,200,000"
127,BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,"Thực phẩm, đồ uống và thuốc lá",HNX,"31,249,394"
128,BNW,CTCP Nước sạch Bắc Ninh,Tiện ích,UPCoM,"37,549,391"
129,BOT,CTCP BOT Cầu Thái Hà,Vận tải,UPCoM,"59,246,800"
130,BPC,CTCP VICEM Bao bì Bỉm Sơn,Nguyên vật liệu,HNX,"3,800,000"
131,BQB,CTCP Bia Hà Nội - Quảng Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"5,800,000"
132,BRC,CTCP Cao su Bến Thành,Xe và linh kiện,HOSE,"12,374,997"
133,BRR,CTCP Cao su Bà Rịa,Nguyên vật liệu,UPCoM,"112,500,000"
134,BRS,CTCP Dịch vụ Đô thị Bà Rịa,Tiện ích,UPCoM,"4,541,950"
135,BSA,CTCP Thủy điện Buôn Đôn,Tiện ích,UPCoM,"66,850,975"
136,BSC,CTCP Dịch vụ Bến Thành,Bất động sản,HNX,"3,150,747"
137,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân","Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,000,000"
138,BSG,CTCP Xe khách Sài Gòn,Vận tải,UPCoM,"60,000,000"
139,BSH,CTCP Bia Sài Gòn - Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"18,000,000"
140,BSI,CTCP Chứng khoán BIDV,Dịch vụ tài chính,HOSE,"245,365,943"
141,BSL,CTCP Bia Sài Gòn - Sông Lam,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"45,000,000"
142,BSP,CTCP Bia Sài Gòn - Phú Thọ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"12,500,000"
143,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"45,000,000"
144,BSR,CTCP Lọc hóa Dầu Bình Sơn,Năng lượng,HOSE,"3,100,499,616"
145,BST,CTCP Sách và Thiết bị Bình Thuận,Truyền thông và giải trí,HNX,"1,100,000"
146,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,Nguyên vật liệu,UPCoM,"5,669,959"
147,BT6,CTCP Beton 6,Nguyên vật liệu,UPCoM,"32,993,550"
148,BTB,CTCP Bia Hà Nội - Thái Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"7,691,226"
149,BTD,CTCP Bê tông Ly tâm Thủ Đức,Nguyên vật liệu,UPCoM,"6,414,100"
150,BTG,CTCP Bao bì Tiền Giang,Nguyên vật liệu,UPCoM,"1,190,000"
151,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Hàng hóa công nghiệp,UPCoM,"25,000,000"
152,BTN,CTCP Đầu tư Bitco Bình Định,Nguyên vật liệu,UPCoM,"4,465,570"
153,BTP,CTCP Nhiệt điện Bà Rịa,Tiện ích,HOSE,"60,485,600"
154,BTS,CTCP Xi măng VICEM Bút Sơn,Nguyên vật liệu,HNX,"123,559,858"
155,BTT,CTCP Thương mại Dịch vụ Bến Thành,Thương mại hàng không thiết yếu,HOSE,"13,500,000"
156,BTU,CTCP Công trình Đô thị Bến Tre,Dịch vụ thương mại và chuyên nghiệp,UPCoM,"3,600,000"
157,BTV,CTCP Dịch vụ Du lịch Bến Thành,Dịch vụ tiêu dùng,UPCoM,"25,000,000"
158,BTW,CTCP Cấp nước Bến Thành,Tiện ích,HNX,"9,360,000"
159,BVB,Ngân hàng TMCP Bản Việt,Tổ chức tín dụng,UPCoM,"551,846,215"
160,BVG,CTCP Group Bắc Việt,Nguyên vật liệu,UPCoM,"9,750,948"
161,BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,"742,322,764"
162,BVL,CTCP BV Land,Hàng hóa công nghiệp,UPCoM,"82,788,300"
163,BVN,CTCP Bông Việt Nam,Thời trang và hàng lâu bền,UPCoM,"5,000,000"
164,BVS,CTCP Chứng khoán Bảo Việt,Dịch vụ tài chính,HNX,"72,233,937"
165,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,Tiện ích,UPCoM,"2,700,000"
166,BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,Tiện ích,HOSE,"219,928,644"
167,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,Tiện ích,UPCoM,"100,007,569"
168,BXH,CTCP VICEM Bao bì Hải Phòng,Nguyên vật liệu,HNX,"3,012,040"
169,C12,CTCP Cầu 12,Hàng hóa công nghiệp,UPCoM,"4,850,000"
170,C21,CTCP Thế Kỷ 21,Bất động sản,UPCoM,"19,336,371"
171,C22,CTCP 22,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,550,000"
172,C32,CTCP Đầu tư và Xây dựng 3-2,Nguyên vật liệu,HOSE,"15,030,145"
173,C47,CTCP Xây dựng 47,Hàng hóa công nghiệp,HOSE,"36,342,269"
174,C4G,CTCP Tập đoàn CIENCO4,Hàng hóa công nghiệp,UPCoM,"357,300,754"
175,C69,CTCP Xây dựng 1369,Thương mại hàng không thiết yếu,HNX,"61,799,972"
176,C92,CTCP Xây dựng và Đầu tư 492,Hàng hóa công nghiệp,UPCoM,"5,312,920"
177,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,799,927"
178,CAG,CTCP Cảng An Giang,Vận tải,HNX,"13,800,000"
179,CAN,CTCP Đồ hộp Hạ Long,"Thực phẩm, đồ uống và thuốc lá",HNX,"5,000,000"
180,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX,"15,269,965"
181,CAR,CTCP Tập đoàn Giáo dục Trí Việt,Dịch vụ tiêu dùng,HNX,"5,565,004"
182,CAT,CTCP Thủy sản Cà Mau,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"9,748,579"
183,CBI,CTCP Gang thép Cao Bằng,Nguyên vật liệu,UPCoM,"43,006,366"
184,CBS,CTCP Mía Đường Cao Bằng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"5,291,868"
185,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Hàng hóa công nghiệp,UPCoM,"397,906,100"
186,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"15,092,326"
187,CCC,CTCP Xây dựng CDC,Hàng hóa công nghiệp,HOSE,"40,250,000"
188,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Năng lượng,HOSE,"17,743,865"
189,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản,HOSE,"59,581,418"
190,CCM,CTCP khoáng sản và Xi măng Cần Thơ,Nguyên vật liệu,UPCoM,"6,199,900"
191,CCP,CTCP Cảng Cửa Cấm Hải Phòng,Vận tải,UPCoM,"2,400,000"
192,CCR,CTCP Cảng Cam Ranh,Vận tải,HNX,"24,501,817"
193,CCT,CTCP Cảng Cần Thơ,Vận tải,UPCoM,"28,480,000"
194,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Dịch vụ thương mại và chuyên nghiệp,UPCoM,"1,800,000"
195,CDC,CTCP Chương Dương,Hàng hóa công nghiệp,HOSE,"43,977,432"
196,CDG,CTCP Cầu Đuống,Nguyên vật liệu,UPCoM,"3,464,995"
197,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Tiện ích,UPCoM,"2,000,000"
198,CDN,CTCP Cảng Đà Nẵng,Vận tải,HNX,"99,000,000"
199,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Hàng hóa công nghiệp,UPCoM,"31,504,975"
200,CDP,CTCP Dược phẩm Trung ương Codupha,Thiết bị và dịch vụ chăm sóc sức khỏe,UPCoM,"18,270,000"
201,CDR,CTCP Xây dựng Cao su Đồng Nai,Hàng hóa công nghiệp,UPCoM,"2,133,271"
202,CEN,CTCP CENCON Việt Nam,Thương mại hàng không thiết yếu,UPCoM,"21,712,440"
203,CEO,CTCP Tập đoàn C.E.O,Bất động sản,HNX,"540,406,432"
204,CET,CTCP HTC Holding,Thời trang và hàng lâu bền,HNX,"6,050,000"
205,CFM,CTCP Đầu tư CFM,Dịch vụ tiêu dùng,UPCoM,"2,000,000"
206,CFV,CTCP Cà phê Thắng Lợi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,096,000"
207,CGV,CTCP Vinaceglass,Thời trang và hàng lâu bền,UPCoM,"9,499,956"
208,CH5,CTCP Xây dựng Số 5 Hà Nội,Hàng hóa công nghiệp,UPCoM,"3,732,450"
209,CHC,CTCP Cẩm Hà,Nguyên vật liệu,UPCoM,"6,731,596"
210,CHP,CTCP Thủy điện Miền Trung,Tiện ích,HOSE,"146,912,668"
211,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Hàng hóa công nghiệp,UPCoM,"28,400,000"
212,CI5,CTCP Đầu Tư Xây dựng Số 5,Hàng hóa công nghiệp,UPCoM,"2,700,000"
213,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Vận tải,HNX,"19,709,904"
214,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Hàng hóa công nghiệp,UPCoM,"1,082,000"
215,CIG,CTCP COMA 18,Hàng hóa công nghiệp,HOSE,"51,039,947"
216,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Vận tải,HOSE,"548,194,283"
217,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Hàng hóa công nghiệp,UPCoM,"4,545,000"
218,CJC,CTCP Cơ điện Miền Trung,Hàng hóa công nghiệp,HNX,"8,000,000"
219,CK8,CTCP Cơ khí 120,Nguyên vật liệu,UPCoM,"3,000,000"
220,CKA,CTCP Cơ Khí An Giang,Hàng hóa công nghiệp,UPCoM,"3,286,404"
221,CKD,CTCP Cơ khí Đông Anh LICOGI,Nguyên vật liệu,UPCoM,"31,000,000"
222,CKG,CTCP Tập đoàn CIC,Bất động sản,HOSE,"161,807,526"
223,CKV,CTCP COKYVINA,Dịch vụ viễn thông,HNX,"4,050,000"
224,CLC,CTCP Cát Lợi,"Thực phẩm, đồ uống và thuốc lá",HOSE,"26,207,583"
225,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,Hàng hóa công nghiệp,UPCoM,"21,150,000"
226,CLH,CTCP Xi măng La Hiên VVMI,Nguyên vật liệu,HNX,"12,000,000"
227,CLL,CTCP Cảng Cát Lái,Vận tải,HOSE,"34,000,000"
228,CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Năng lượng,HNX,"11,000,000"
229,CLW,CTCP Cấp nước Chợ Lớn,Tiện ích,HOSE,"13,000,000"
230,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Thương mại hàng thiết yếu,UPCoM,"86,600,000"
231,CMC,CTCP Đầu tư CMC,Hàng hóa công nghiệp,HNX,"4,561,050"
232,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Nguyên vật liệu,UPCoM,"15,000,000"
233,CMF,CTCP Thực phẩm Cholimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,100,000"
234,CMG,CTCP Tập đoàn Công nghệ CMC,Phần mềm và dịch vụ,HOSE,"211,339,607"
235,CMI,CTCP CMISTONE Việt Nam,Nguyên vật liệu,UPCoM,"15,002,500"
236,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Hàng hóa công nghiệp,UPCoM,"1,432,578"
237,CMM,CTCP Camimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"91,849,998"
238,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"4,800,000"
239,CMP,CTCP Cảng Chân Mây,Vận tải,UPCoM,"32,405,415"
240,CMS,CTCP Tập Đoàn CMH Việt Nam,Hàng hóa công nghiệp,HNX,"25,452,500"
241,CMT,CTCP Công nghệ Mạng và Truyền thông,Phần mềm và dịch vụ,UPCoM,"8,000,000"
242,CMV,CTCP Thương nghiệp Cà Mau,Thương mại hàng không thiết yếu,HOSE,"18,155,868"
243,CMW,CTCP Cấp nước Cà Mau,Tiện ích,UPCoM,"15,534,900"
244,CMX,CTCP Camimex Group,"Thực phẩm, đồ uống và thuốc lá",HOSE,"101,898,990"
245,CNA,CTCP Tổng Công ty Chè Nghệ An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"1,673,622"
246,CNC,CTCP Công nghệ Cao Traphaco,"Dược phẩm, công nghệ sinh học và khoa học sự sống",UPCoM,"11,364,325"
247,CNG,CTCP CNG Việt Nam,Tiện ích,HOSE,"35,099,625"
248,CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco",Dịch vụ thương mại và chuyên nghiệp,UPCoM,"8,800,000"
249,CNT,CTCP Tập đoàn CNT,Bất động sản,UPCoM,"50,392,785"
250,COM,CTCP Vật tư Xăng Dầu,Năng lượng,HOSE,"14,120,628"
251,CPA,CTCP Cà phê Phước An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"23,627,990"
252,CPC,CTCP Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX,"4,303,050"
253,CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ tiêu dùng,UPCoM,"4,400,000"
254,CPI,CTCP Đầu tư Cảng Cái Lân,Vận tải,UPCoM,"36,505,000"
255,CQN,CTCP Cảng Quảng Ninh,Vận tải,UPCoM,"75,049,936"
256,CQT,CTCP Xi măng Quán Triều VVMI,Nguyên vật liệu,UPCoM,"25,000,000"
257,CRC,CTCP Create Capital Việt Nam,Hàng hóa công nghiệp,HOSE,"68,399,924"
258,CRE,CTCP Bất động sản Thế Kỷ,Bất động sản,HOSE,"463,678,534"
259,CSC,CTCP Tập đoàn COTANA,Bất động sản,HNX,"41,149,264"
260,CSI,CTCP Chứng khoán Kiến thiết Việt Nam,Dịch vụ tài chính,UPCoM,"16,800,000"
261,CSM,CTCP Công nghiệp Cao su Miền Nam,Xe và linh kiện,HOSE,"103,626,467"
262,CST,CTCP Than Cao Sơn - TKV,Năng lượng,HNX,"42,846,773"
263,CSV,CTCP Hóa chất Cơ bản Miền Nam,Nguyên vật liệu,HOSE,"110,499,910"
